OID_,DATE,Location,Description,Citation,SightingClass,X_Cord,Y_Cord
1,12-01-2019,066° 58' 07.29542461"" W,"Lubec resident Chessie Gartmayer said in December that she saw crossing the Quoddy Farms Road in South Lubec ""a cat as large as a German shepherd with a long tail, a tail almost as long as the huge body, hanging just off the ground and curving back up.""",https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3c,-66.968693169999995,44.816715770000002
2,01-01-2018,067° 00' 26.65062538"" W,Large cat spotted by Rita Rahilly,https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3c,-67.007402949999999,44.831656150000001
3,01-01-2017,067° 00' 20.49756463"" W,Large cat spotted by Shanna Wheelock,https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3c,-67.005693769999993,44.825869359999999
4,01-01-2017,067° 00' 12.31816069"" W,Large cat spotted by Jody Grimes,https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3c,-67.003421709999998,44.820146479999998
5,01-01-2015,067° 00' 15.27667732"" W," Michael Jenkins was driving home at night and had to abruptly stop his car to avoid hitting a large cat crossing the road. He said it was light brown and had a long body and tail and was larger than any cat he had ever seen. When he arrived home, he calm",https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3c,-67.004243520000003,44.822511030000001
6,12-31-2010,067° 00' 25.07050255"" W,Sonia Bailey and other Lubec residents during the winter months of 2010‑2011 also said they saw a puma or cougar.,https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3b,-67.006964030000006,44.828428870000003
7,01-01-2011,067° 14' 55.01542199"" W," In nearby Charlotte, Lyle and Arthur Furlong saw a very large dark-coated cat in 2011. ",https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3b,-67.248615389999998,45.020470130000000
8,01-01-2011,067° 09' 37.90740637"" W,Philip Farrell and two passengers from his car reported watching a very large long‑tailed cat crossing Route 1 in Pembroke. ,https://quoddytides.com/area-cougar-sightings-reported1-10-2020.html,Class 3b,-67.160529839999995,44.963718800000002
9,01-01-2015,069° 27' 56.61608649"" W,"I became aware of an actual sighting was several years ago, when a woman from Palermo called me to say she had spotted a cougar at the end of her driveway, near the road, because she had been alerted by her barking dog. When she looked out the window to s",https://townline.org/scores-outdoors-reported-sightings-of-mountain-lions-on-the-upswing-in-maine/,Class 3c,-69.465726689999997,44.400076409999997
10,12-30-2020,069° 37' 30.02856826"" W,"Mark Pantermoller, of Fairfield, who sent a photo shot from a game camera near his property, that was definitely a clear, crisp photo of a mountain lion.",https://townline.org/scores-outdoors-reported-sightings-of-mountain-lions-on-the-upswing-in-maine/,Class 2a,-69.625007940000003,44.597215570000003
11,01-01-2017,068° 57' 15.56268415"" W,"A hunter in Levant sees a Maine mountain lion, then shoots a deer that had been mauled by a large animal (and documents it with photos). Claw and bite marks are consistent with a cougar. (further reporting was not done)",https://wanderingthroughmaine.com/are-there-mountain-lions-in-maine/,Class  1d,-68.954322970000007,44.876575619999997
12,09-09-2000,070° 03' 21.39692818"" W,"It was mid-September 2000 and Glover, then 39, was scouting out some easily accessible spots along railroad tracks in Monmouth where, with an injured foot, he could more easily bowhunt for deer.

Standing on an embankment above the tracks, Glover saw a ",https://www.proquest.com/docview/815824051?parentSessionId=Hd6NTTSQTUXiMIBHUaK9KnzAbUkB42MOoUiuRXD8Wa4%3D&pq-origsite=summon&accountid=14583,Class 3c,-70.055943589999998,44.236289640000003
